airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-06,Delhi,Cochin,16:50:00,04:25:00,2135,2,No Info,19907
Indigo,2019-03-09,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,6297
Air Asia,2019-06-12,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,3807
Multiple Carriers,2019-06-06,Delhi,Cochin,11:25:00,19:15:00,470,1,No Info,7354
Spicejet,2019-03-01,Banglore,New Delhi,15:35:00,23:40:00,485,1,1 Long layover,7744
Indigo,2019-05-12,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,4591
Spicejet,2019-05-15,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,4423
Jet Airways,2019-03-21,Delhi,Cochin,07:05:00,18:50:00,705,1,No Info,12767
Indigo,2019-03-01,Banglore,New Delhi,07:30:00,12:20:00,290,1,No Info,8110
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,21:05:00,690,1,In-flight meal not included,10703
Air India,2019-06-15,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,6961
Indigo,2019-03-03,Mumbai,Hyderabad,21:20:00,22:45:00,85,0,No Info,4784
Vistara,2019-03-01,Banglore,New Delhi,19:40:00,22:20:00,160,0,No Info,21730
Multiple Carriers,2019-03-21,Delhi,Cochin,08:25:00,19:15:00,650,1,No Info,8601
Indigo,2019-05-18,Banglore,Delhi,13:00:00,15:50:00,170,0,No Info,4423
Air India,2019-05-06,Kolkata,Banglore,16:45:00,08:55:00,970,2,No Info,13227
Spicejet,2019-05-21,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3543
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,08:15:00,1090,1,No Info,13044
Spicejet,2019-03-18,Chennai,Kolkata,08:20:00,10:35:00,135,0,No Info,3859
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,19:10:00,805,1,No Info,27992
Air India,2019-06-06,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,9194
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,15:30:00,505,1,No Info,14486
Air India,2019-03-15,Banglore,New Delhi,13:50:00,22:10:00,500,1,No Info,9166
Multiple Carriers,2019-06-03,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,13587
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,04:25:00,865,1,In-flight meal not included,10262
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,23:35:00,1630,1,In-flight meal not included,9314
Air India,2019-06-01,Delhi,Cochin,13:30:00,23:00:00,570,1,No Info,8907
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,800,1,No Info,14571
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,20:45:00,400,1,No Info,13364
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,19:10:00,1570,1,No Info,12692
Air India,2019-05-27,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,4667
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2,In-flight meal not included,13029
Air Asia,2019-05-09,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,3807
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,19:00:00,300,1,In-flight meal not included,12373
Multiple Carriers,2019-05-27,Delhi,Cochin,14:00:00,01:30:00,690,1,No Info,13377
Vistara,2019-05-27,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Air India,2019-05-24,Kolkata,Banglore,05:50:00,08:55:00,1625,2,No Info,12723
Spicejet,2019-06-18,Banglore,Delhi,09:30:00,12:20:00,170,0,No check-in baggage included,3257
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,14:25:00,1730,1,No Info,13067
Air Asia,2019-03-06,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4384
Air India,2019-03-09,Delhi,Cochin,07:00:00,19:15:00,735,1,No Info,15704
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,10262
Multiple Carriers,2019-05-21,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,7485
Air India,2019-06-06,Delhi,Cochin,12:00:00,07:40:00,1180,2,No Info,8603
Jet Airways,2019-06-12,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,5769
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,10:55:00,870,1,No Info,13067
Indigo,2019-04-15,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,4591
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,23:35:00,425,1,No Info,13626
Indigo,2019-03-01,Kolkata,Banglore,14:20:00,16:55:00,155,0,No Info,6565
Air India,2019-05-18,Kolkata,Banglore,16:45:00,12:30:00,1185,2,No Info,15170
Indigo,2019-03-15,Banglore,New Delhi,13:00:00,15:50:00,170,0,No Info,6144
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:15:00,600,1,No Info,8099
Spicejet,2019-06-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No Info,2753
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Multiple Carriers,2019-05-21,Delhi,Cochin,11:25:00,19:15:00,470,1,No Info,7575
Air India,2019-05-12,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No Info,3100
Air India,2019-05-27,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No Info,3100
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,19:00:00,1005,1,In-flight meal not included,10262
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,18:00:00,1500,1,No Info,11467
Multiple Carriers,2019-06-09,Delhi,Cochin,09:45:00,16:10:00,385,1,No Info,9646
Multiple Carriers,2019-06-12,Delhi,Cochin,08:45:00,19:00:00,615,1,No Info,11789
Air India,2019-03-06,Mumbai,Hyderabad,05:55:00,22:00:00,965,1,No Info,10366
Air Asia,2019-03-18,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4384
Multiple Carriers,2019-06-27,Delhi,Cochin,08:45:00,19:15:00,630,1,No Info,8266
Indigo,2019-04-24,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Air India,2019-05-24,Kolkata,Banglore,05:50:00,12:30:00,1840,2,No Info,12723
Spicejet,2019-03-06,Mumbai,Hyderabad,14:10:00,22:25:00,495,1,No Info,13552
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,21:00:00,570,1,No Info,13587
Multiple Carriers,2019-06-01,Delhi,Cochin,15:00:00,01:30:00,630,1,No Info,13377
Spicejet,2019-06-01,Kolkata,Banglore,22:20:00,00:40:00,140,0,No Info,3873
Spicejet,2019-05-18,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No Info,2227
Spicejet,2019-03-15,Chennai,Kolkata,09:30:00,12:05:00,155,0,No Info,6300
Indigo,2019-03-01,Banglore,New Delhi,23:30:00,02:20:00,170,0,No Info,10067
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,19:10:00,670,1,No Info,16736
Multiple Carriers,2019-06-03,Delhi,Cochin,03:50:00,19:00:00,910,1,No Info,12192
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,04:40:00,520,1,In-flight meal not included,8586
Spicejet,2019-03-03,Banglore,New Delhi,09:35:00,12:30:00,175,0,No Info,7648
Spicejet,2019-03-24,Kolkata,Banglore,11:35:00,18:50:00,435,1,No Info,9923
Multiple Carriers,2019-06-15,Delhi,Cochin,14:55:00,22:30:00,455,1,In-flight meal not included,6093
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,7408
Indigo,2019-06-12,Banglore,Delhi,06:05:00,08:50:00,165,0,No Info,3943
Air India,2019-06-12,Kolkata,Banglore,09:10:00,11:05:00,1555,2,No Info,6117
Air India,2019-06-18,Banglore,Delhi,17:00:00,19:50:00,170,0,No Info,6961
Air Asia,2019-06-27,Delhi,Cochin,07:55:00,13:25:00,330,1,No Info,6152
Jet Airways,2019-05-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,No Info,5678
Multiple Carriers,2019-04-09,Delhi,Cochin,06:00:00,13:20:00,440,1,No Info,8323
Air India,2019-03-12,Mumbai,Hyderabad,21:00:00,19:25:00,1345,1,No Info,10943
Spicejet,2019-03-27,Chennai,Kolkata,08:20:00,10:35:00,135,0,No Info,3384
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,14:25:00,1285,1,In-flight meal not included,9314
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,15:15:00,435,1,No Info,22270
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,12:35:00,810,2,No Info,15129
Goair,2019-03-24,Banglore,New Delhi,07:45:00,10:40:00,175,0,No Info,5048
Multiple Carriers,2019-06-12,Delhi,Cochin,11:35:00,21:00:00,565,3,No Info,15629
Jet Airways,2019-04-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,14:25:00,1080,1,In-flight meal not included,9314
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,04:25:00,550,1,No Info,14714
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,19:00:00,560,2,In-flight meal not included,10368
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,21:00:00,560,1,No Info,7005
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,19:50:00,685,1,In-flight meal not included,10844
Multiple Carriers,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1,In-flight meal not included,7308
Jet Airways,2019-04-01,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,7229
Air India,2019-05-09,Delhi,Cochin,09:00:00,19:15:00,615,1,No Info,8372
Air Asia,2019-04-24,Banglore,Delhi,04:55:00,07:45:00,170,0,No Info,3383
Multiple Carriers,2019-05-15,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,8073
Air India,2019-04-21,Delhi,Cochin,20:30:00,23:00:00,1590,1,No Info,7174
Indigo,2019-03-09,Banglore,New Delhi,20:00:00,22:55:00,175,0,No Info,6144
Air India,2019-03-09,Banglore,New Delhi,13:20:00,16:10:00,170,0,No Info,8851
Indigo,2019-05-15,Delhi,Cochin,21:05:00,00:20:00,195,0,No Info,6834
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,19:00:00,300,1,In-flight meal not included,10262
Jet Airways,2019-05-01,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,4030
Indigo,2019-05-15,Delhi,Cochin,10:35:00,01:30:00,895,1,No Info,6979
Indigo,2019-04-12,Banglore,Delhi,20:00:00,22:50:00,170,0,No Info,4990
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,10:25:00,780,1,No Info,17261
Jet Airways,2019-05-12,Delhi,Cochin,11:00:00,14:15:00,195,0,No Info,9564
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,05:05:00,1045,1,In-flight meal not included,11087
Air India,2019-03-06,Mumbai,Hyderabad,12:00:00,12:25:00,1465,1,No Info,14408
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,20:20:00,790,1,No Info,8610
Air India,2019-03-15,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,7082
Jet Airways,2019-03-21,Delhi,Cochin,14:00:00,04:25:00,865,1,In-flight meal not included,7438
Air India,2019-05-18,Delhi,Cochin,17:40:00,23:00:00,320,1,No Info,8277
Indigo,2019-03-15,Banglore,New Delhi,16:55:00,21:50:00,295,1,No Info,5397
Spicejet,2019-04-27,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Air India,2019-05-06,Kolkata,Banglore,07:00:00,10:00:00,1620,2,No Info,14508
Air India,2019-06-15,Delhi,Cochin,03:50:00,19:15:00,925,1,No Info,9929
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,16:20:00,590,1,No Info,13941
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,04:25:00,1295,1,No Info,16289
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,04:25:00,395,1,No Info,15554
Jet Airways,2019-05-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Air Asia,2019-03-09,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,4384
Indigo,2019-04-21,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,5644
Multiple Carriers,2019-06-09,Delhi,Cochin,03:50:00,11:30:00,460,1,No Info,7408
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,12:35:00,1655,1,In-flight meal not included,12898
Vistara,2019-05-12,Banglore,Delhi,21:00:00,23:50:00,170,0,No Info,4668
Jet Airways,2019-06-15,Delhi,Cochin,10:00:00,19:00:00,540,1,No Info,14714
Vistara,2019-06-27,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Air India,2019-03-09,Delhi,Cochin,19:45:00,19:15:00,1410,2,No Info,11701
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,19:15:00,385,1,No Info,9526
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,10:05:00,1540,1,In-flight meal not included,8529
Spicejet,2019-06-03,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,3311
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,16:20:00,1220,1,No Info,12681
Air India,2019-04-18,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,6094
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,1210,2,No Info,11774
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,10:45:00,1065,1,No Info,9187
Jet Airways,2019-06-15,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,No Info,5678
Air India,2019-05-12,Kolkata,Banglore,16:45:00,16:15:00,1410,2,No Info,13437
Multiple Carriers,2019-05-09,Delhi,Cochin,10:20:00,01:30:00,910,1,No Info,9021
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,04:40:00,730,1,In-flight meal not included,7064
Air India,2019-03-24,Delhi,Cochin,04:00:00,07:40:00,1660,1,No Info,8635
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,09:45:00,800,1,In-flight meal not included,12384
Multiple Carriers,2019-05-15,Delhi,Cochin,10:35:00,19:15:00,520,1,No Info,7575
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,19:00:00,1395,1,No Info,14714
Goair,2019-06-15,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,5842
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:15:00,470,1,No Info,7575
Jet Airways,2019-06-15,Delhi,Cochin,12:15:00,12:35:00,1460,2,No Info,14300
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,20:25:00,1645,1,No Info,12102
Air India,2019-06-01,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,10861
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,12373
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,20:20:00,1640,1,No Info,8610
Indigo,2019-05-15,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No Info,2227
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,7198
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,14848
Indigo,2019-03-03,Banglore,New Delhi,16:55:00,19:45:00,170,0,No Info,8855
Spicejet,2019-03-03,Delhi,Cochin,15:55:00,21:55:00,360,1,No Info,11349
Jet Airways,2019-04-15,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,7229
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,23:00:00,1585,1,In-flight meal not included,11087
Indigo,2019-05-21,Banglore,Delhi,20:00:00,22:50:00,170,0,No Info,4823
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1,No Info,14571
Multiple Carriers,2019-06-24,Delhi,Cochin,09:45:00,22:30:00,765,1,No Info,9646
Indigo,2019-03-09,Delhi,Cochin,05:35:00,10:10:00,275,1,No Info,9476
Spicejet,2019-05-09,Delhi,Cochin,08:45:00,13:15:00,270,1,No Info,4812
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,10:05:00,1055,1,No Info,14781
Indigo,2019-03-21,Delhi,Cochin,02:05:00,07:25:00,320,1,No Info,4862
Indigo,2019-04-12,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,5780
Air India,2019-03-15,Banglore,New Delhi,05:50:00,23:45:00,1075,2,No Info,7664
Indigo,2019-06-15,Mumbai,Hyderabad,12:00:00,13:30:00,90,0,No Info,2754
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,19:00:00,1395,1,No Info,14924
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,19:00:00,1295,2,No Info,13292
Indigo,2019-06-27,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Indigo,2019-06-03,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,16:20:00,1220,1,In-flight meal not included,10844
Indigo,2019-06-21,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Jet Airways,2019-03-06,Mumbai,Hyderabad,19:50:00,16:50:00,1260,2,No Info,24210
Air India,2019-04-09,Delhi,Cochin,14:05:00,17:55:00,230,0,No Info,6724
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,05:05:00,375,1,No Info,54826
Air India,2019-06-09,Kolkata,Banglore,07:00:00,05:25:00,1345,2,No Info,12534
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1,In-flight meal not included,10262
Air India,2019-04-06,Kolkata,Banglore,20:45:00,23:20:00,155,0,No Info,4460
Indigo,2019-03-09,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,6297
Jet Airways,2019-06-01,Delhi,Cochin,11:40:00,19:00:00,440,2,In-flight meal not included,15812
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,09:05:00,765,1,No Info,7927
Indigo,2019-05-27,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,6314
Spicejet,2019-03-03,Banglore,New Delhi,09:35:00,12:30:00,175,0,No Info,6860
Indigo,2019-06-01,Mumbai,Hyderabad,09:15:00,10:45:00,90,0,No Info,4049
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1,In-flight meal not included,10262
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,10:55:00,1520,1,No Info,10953
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,10:05:00,775,1,No Info,13044
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,16:20:00,475,1,No Info,14781
Indigo,2019-05-18,Delhi,Cochin,07:35:00,22:30:00,895,1,No Info,7144
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,04:25:00,805,1,No Info,12767
Indigo,2019-03-21,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,3858
Jet Airways,2019-06-03,Delhi,Cochin,20:00:00,04:25:00,505,2,In-flight meal not included,15318
Air India,2019-03-03,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,10810
Air India,2019-04-03,Delhi,Cochin,06:05:00,09:25:00,1640,1,No Info,5117
Air India,2019-03-21,Banglore,New Delhi,22:00:00,23:20:00,1520,1,No Info,6010
Indigo,2019-06-09,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,4423
Indigo,2019-05-18,Delhi,Cochin,05:05:00,16:10:00,665,1,No Info,6818
Indigo,2019-04-06,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Spicejet,2019-05-15,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Air India,2019-06-12,Delhi,Cochin,16:40:00,19:15:00,1595,2,No Info,9443
Air India,2019-03-06,Mumbai,Hyderabad,20:15:00,09:15:00,780,1,No Info,9535
Jet Airways,2019-03-06,Delhi,Cochin,22:20:00,19:45:00,1285,1,No Info,17024
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,19:10:00,1570,1,No Info,14151
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,09:20:00,1655,1,No Info,14388
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,19:15:00,385,1,No Info,8266
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,12:00:00,960,1,In-flight meal not included,9663
Multiple Carriers,2019-05-15,Delhi,Cochin,10:20:00,19:15:00,535,1,No Info,8266
Air India,2019-06-06,Delhi,Cochin,09:45:00,23:00:00,795,1,No Info,8907
Air India,2019-06-15,Delhi,Cochin,09:45:00,09:25:00,1420,2,No Info,10975
Air India,2019-05-09,Kolkata,Banglore,14:35:00,14:35:00,1440,1,No Info,6528
Jet Airways,2019-06-12,Delhi,Cochin,14:00:00,19:00:00,300,1,In-flight meal not included,10262
Air India,2019-05-21,Delhi,Cochin,05:55:00,19:15:00,2240,2,No Info,10493
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4995
Air India,2019-05-24,Kolkata,Banglore,10:00:00,05:25:00,1165,2,No Info,15107
Indigo,2019-03-09,Delhi,Cochin,17:30:00,01:35:00,485,1,No Info,12351
Multiple Carriers,2019-06-01,Delhi,Cochin,03:50:00,19:00:00,910,1,No Info,12192
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,04:25:00,450,1,No Info,14714
Air Asia,2019-06-15,Delhi,Cochin,16:45:00,07:10:00,865,1,No Info,6853
Indigo,2019-06-27,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No Info,2227
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35:00,825,1,No Info,14714
Jet Airways,2019-03-03,Delhi,Cochin,11:30:00,18:50:00,440,1,No Info,18550
Air India,2019-06-27,Delhi,Cochin,09:45:00,09:25:00,1420,2,No Info,10975
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,09:30:00,640,1,1 Long layover,31825
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,3850
Indigo,2019-06-24,Banglore,Delhi,06:05:00,08:50:00,165,0,No Info,3943
Multiple Carriers,2019-06-03,Delhi,Cochin,15:15:00,01:30:00,615,1,No Info,6795
Air India,2019-06-27,Delhi,Cochin,17:20:00,09:25:00,965,1,No Info,7480
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,16:20:00,1220,1,In-flight meal not included,10844
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,18:15:00,1335,1,No Info,12681
Multiple Carriers,2019-05-09,Delhi,Cochin,08:45:00,19:00:00,615,1,No Info,9794
Indigo,2019-06-06,Delhi,Cochin,07:35:00,12:10:00,275,1,No Info,5458
Air India,2019-06-12,Kolkata,Banglore,10:00:00,16:15:00,375,1,No Info,11936
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,04:40:00,520,1,No Info,13731
Jet Airways,2019-04-09,Banglore,Delhi,15:50:00,18:45:00,175,0,In-flight meal not included,4544
Spicejet,2019-06-09,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,4174
Air India,2019-05-21,Kolkata,Banglore,05:50:00,20:25:00,875,2,No Info,12303
Jet Airways,2019-06-09,Banglore,Delhi,06:00:00,08:45:00,165,0,No Info,8016
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,23:25:00,1625,1,No Info,9345
Multiple Carriers,2019-06-12,Delhi,Cochin,12:50:00,01:30:00,760,1,No Info,6795
Jet Airways,2019-06-27,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,5769
Spicejet,2019-06-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No Info,2017
Indigo,2019-03-03,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,7295
Multiple Carriers,2019-06-03,Delhi,Cochin,11:30:00,01:30:00,840,1,No Info,13377
Jet Airways,2019-06-12,Banglore,Delhi,18:55:00,22:00:00,185,0,In-flight meal not included,5769
Air India,2019-06-09,Delhi,Cochin,05:55:00,19:15:00,2240,2,No Info,10493
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,23:35:00,395,1,In-flight meal not included,12384
Indigo,2019-05-18,Kolkata,Banglore,19:35:00,23:15:00,220,1,No Info,4226
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,10:45:00,710,1,No Info,13817
Multiple Carriers,2019-06-15,Delhi,Cochin,08:45:00,19:00:00,615,1,No Info,11789
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2,No Info,11622
Spicejet,2019-06-21,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,3919
Spicejet,2019-06-03,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3859
Indigo,2019-06-01,Delhi,Cochin,17:05:00,22:25:00,320,1,No Info,7060
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,19:15:00,375,1,No Info,14323
Indigo,2019-05-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Air India,2019-06-15,Delhi,Cochin,06:50:00,07:40:00,1490,2,No Info,13591
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,04:40:00,450,1,No Info,14388
Indigo,2019-05-24,Kolkata,Banglore,15:15:00,20:05:00,290,1,No Info,5192
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,13292
Jet Airways,2019-03-12,Mumbai,Hyderabad,09:50:00,16:35:00,405,1,No Info,20120
Air India,2019-05-01,Kolkata,Banglore,14:15:00,16:45:00,150,0,No Info,6245
Indigo,2019-05-21,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No Info,4049
Indigo,2019-04-03,Delhi,Cochin,20:25:00,01:30:00,305,1,No Info,5073
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,09:20:00,1495,1,In-flight meal not included,9663
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1,No Info,13377
Goair,2019-03-15,Banglore,New Delhi,11:40:00,14:35:00,175,0,No Info,6113
Indigo,2019-06-15,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,3597
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1,No Info,7005
Jet Airways,2019-06-15,Delhi,Cochin,09:25:00,04:25:00,1140,2,No Info,13882
Air Asia,2019-06-15,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,4107
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4050
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,22:35:00,1660,1,In-flight meal not included,8529
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,18:15:00,705,1,In-flight meal not included,7064
Vistara,2019-05-06,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Jet Airways,2019-05-18,Delhi,Cochin,13:00:00,12:35:00,1415,1,In-flight meal not included,12373
Jet Airways,2019-03-18,Banglore,New Delhi,08:00:00,15:15:00,435,1,No Info,12284
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,19:50:00,685,1,No Info,12681
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,09:45:00,800,1,No Info,13067
Multiple Carriers,2019-06-09,Delhi,Cochin,07:10:00,22:30:00,920,1,No Info,6513
Air India,2019-06-01,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,6961
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,3597
Air India,2019-06-09,Delhi,Cochin,19:45:00,19:15:00,1410,2,No Info,9968
